age,games,games_started,minutes_played,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,3-point_field_goals_per_game,3-point_field_goal_attempted_per_game,3-point_goal_percentage,2-point_field_goals_per_game,2-point_field_goals_attempted_per_game,2-point_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,3_point_attempt_rate,assist_percentage,block_percentage,defensive_box_plus_minux,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minux,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,turnover_percentage,total_rebound_percentage,true_shooting_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes,position_C,position_PF,position_PG,position_SF,position_SG,games_start_percentage,rating
21,14,0,11.1,1.6,4.1,0.386,0.3,1,0.286,1.3,3.1,0.419,0.7,0.9,0.833,0,0.2,0.2,0.9,0.3,0.2,0.7,1.4,4.1,0.246,12.7,1.3,-4,2.2,0,0.211,-3.9,0,-0.1,7.4,1.4,13.8,1.1,0.466,21.1,-0.2,-0.01,0,0,1,0,0,0,63
27,61,0,12.7,1.3,3,0.429,0.5,1.2,0.425,0.8,1.8,0.431,0.4,0.5,0.793,0.2,1,1.2,1.7,0.5,0,0.5,0.8,3.4,0.401,20.7,0.2,-1.1,8.5,0.7,0.159,-0.4,2.1,1,12.4,2.2,14.5,5.3,0.539,13.4,0.1,0.105,0,0,1,0,0,0,58
25,82,82,40.6,9.3,18.3,0.508,0,0.1,0.1,9.3,18.2,0.511,6.8,8.5,0.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,0.007,18.3,4.3,3.8,25.9,7.1,0.466,3.9,9.6,10.7,27,1,12.7,18,0.576,29,8.1,0.257,0,1,0,0,0,1,98
29,39,0,15.6,1.5,4.5,0.337,0.4,1.5,0.241,1.2,3,0.385,1,1.3,0.796,0.2,1,1.3,2.6,0.6,0.1,1.4,1.4,4.4,0.331,26.7,0.4,-1.5,7.6,0.4,0.28,-3.6,1.7,-0.7,8.5,2.1,21.2,4.7,0.435,19.1,-0.5,-0.021,0,0,1,0,0,0,69
28,69,69,39.9,8.2,17.8,0.463,1.1,3.2,0.339,7.1,14.6,0.491,3,3.6,0.837,1.3,3.9,5.2,3.3,0.9,0.4,1.7,2.1,20.6,0.182,14,0.6,-1.3,10.7,1,0.204,2.3,3.7,5.3,17.6,1.2,8,7.3,0.532,23.9,2.1,0.11,0,0,0,1,0,1,86
27,70,35,28.2,3.9,9.5,0.411,2.1,5,0.413,1.9,4.5,0.41,1.3,1.6,0.847,0.2,1.9,2.1,2.6,0.9,0.1,0.9,1.7,11.2,0.524,13.9,0.3,-1.3,7.2,1.8,0.167,2.2,0.8,3.7,14,1.7,8,4.1,0.55,17.6,1.4,0.134,0,0,1,0,0,0.5,70
20,8,0,4.9,0.1,1.5,0.083,0,0.4,0,0.1,1.1,0.111,0.5,0.5,1,0.1,0.6,0.8,0.8,0.3,0,0.4,0.1,0.8,0.25,22.2,0,0,14.4,0.1,0.333,-9.9,2.7,-0.2,2.8,2.7,17.9,8.4,0.218,19.6,-0.1,-0.144,0,0,0,0,1,0,59
24,57,56,41.1,7.4,17.7,0.417,1.2,3.7,0.324,6.2,14,0.442,5.7,7.4,0.773,1.8,5.2,7,6.4,1.2,0.4,3.9,3,21.6,0.209,29.1,0.7,-0.3,14.8,1.2,0.419,3.2,4.9,3.2,19.1,1.6,15.6,9.8,0.517,28,2.9,0.091,0,0,1,0,0,0.98245614,87
25,81,81,39.2,8.1,17.3,0.47,0.5,1.4,0.319,7.7,15.9,0.484,4.4,5.5,0.801,3,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,0.083,22.4,2.9,3.1,26.5,4.9,0.32,3.6,9,7.9,23.8,1.6,12.5,17.8,0.536,26,7,0.194,0,1,0,0,0,1,98
21,82,79,36.7,6.7,13,0.518,0,0.1,0.2,6.7,12.9,0.519,4.1,5.8,0.709,2.9,6,8.9,2.7,0.5,2.1,2.7,2.4,17.6,0.005,13.8,3.9,1.5,18.2,2.8,0.448,0.7,8.8,4.8,19.5,0.7,15,13.5,0.566,22.6,3.2,0.121,1,0,0,0,0,0.963414634,82
24,82,1,21.5,2.6,6.4,0.411,0.8,2.2,0.371,1.8,4.2,0.432,1,1.5,0.675,1,2.7,3.7,1.4,0.9,0.5,0.8,2.3,7.1,0.34,9.4,1.7,1.1,14,2.6,0.241,-0.4,4.9,1.6,12.6,2.1,10.2,9.5,0.502,16.4,1.2,0.113,0,0,0,1,0,0.012195122,73
33,65,49,21.7,2.5,6.5,0.384,0.1,0.7,0.136,2.4,5.8,0.413,0.6,1,0.677,0.4,2.4,2.8,1.5,0.7,0.1,0.8,2.2,5.7,0.104,12.1,0.4,0.7,12.7,2,0.147,-4.4,2.4,-1.3,7.6,1.7,10.9,7.6,0.414,17.1,-0.6,0.023,0,0,0,0,1,0.753846154,66
