player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Francisco Garcia,SF,30,SAC,49,3,16.3,1.8,4.7,0.376,0.8,2.7,0.29,1.0,2.0,0.49,0.459,0.5,0.6,0.8,0.2,1.8,2.0,0.6,0.7,0.8,0.4,1.5,4.8,0.572,5.8,3.4,-1.2,0.4,12.7,0.5,0.131,-1.6,1.4,0.3,10.7,2.3,8.3,6.8,0.483,14.4,0.2,0.8,0.048,68
Kevin Garnett,C,35,BOS,60,60,31.1,6.5,13.0,0.503,0.1,0.2,0.333,6.5,12.8,0.505,0.505,2.7,3.2,0.857,1.1,7.1,8.2,2.9,0.9,1.0,1.8,2.4,15.8,0.012,17.9,2.5,3.6,3.3,25.8,4.3,0.243,0.2,4.4,2.6,20.4,1.6,11.1,15.6,0.55,24.9,2.6,6.9,0.178,85
Marc Gasol,C,27,MEM,65,65,36.5,5.5,11.4,0.482,0.0,0.2,0.083,5.5,11.2,0.489,0.483,3.6,4.9,0.748,1.8,7.1,8.9,3.1,1.0,1.9,1.9,3.1,14.6,0.016,14.1,4.1,3.9,3.6,23.1,4.0,0.428,0.3,5.8,4.2,18.4,1.4,12.1,14.3,0.541,19.1,3.5,8.2,0.166,84
Pau Gasol,PF,31,LAL,65,65,37.4,7.1,14.1,0.501,0.1,0.4,0.259,7.0,13.7,0.508,0.504,3.1,4.0,0.782,2.8,7.6,10.4,3.6,0.6,1.4,2.2,2.0,17.4,0.029,17.2,2.6,3.7,2.0,21.8,3.1,0.285,1.7,8.8,5.2,20.4,0.8,12.1,15.6,0.547,22.1,3.5,8.3,0.165,80
Rudy Gay,SF,25,MEM,65,65,37.3,7.5,16.4,0.455,0.8,2.7,0.312,6.6,13.8,0.482,0.48,3.2,4.0,0.791,2.0,4.4,6.4,2.3,1.5,0.8,2.5,2.1,19.0,0.162,10.8,1.8,1.8,0.8,14.1,3.3,0.246,1.0,6.1,2.8,17.8,2.1,12.0,10.1,0.521,25.1,2.3,6.0,0.12,82
Alonzo Gee,SG,24,CLE,63,31,29.0,3.6,8.7,0.412,0.7,2.2,0.321,2.9,6.6,0.442,0.452,2.7,3.4,0.788,1.6,3.5,5.1,1.8,1.3,0.3,1.8,2.4,10.6,0.249,10.6,0.7,-0.5,0.1,14.3,1.2,0.385,-0.5,6.1,1.2,13.2,2.4,15.0,10.0,0.516,18.7,0.7,2.4,0.063,70
Paul George,SG,21,IND,66,66,29.7,4.3,9.7,0.44,1.4,3.5,0.385,2.9,6.1,0.472,0.51,2.2,2.8,0.802,0.8,4.8,5.6,2.4,1.6,0.6,1.8,2.9,12.1,0.366,13.6,1.5,3.9,1.9,17.9,3.2,0.285,1.9,3.2,2.8,16.5,2.9,14.0,10.6,0.555,19.3,2.9,6.0,0.148,82
Daniel Gibson,SG,25,CLE,35,7,26.2,2.5,7.1,0.351,1.6,4.0,0.396,0.9,3.1,0.294,0.462,1.0,1.2,0.791,0.3,2.6,2.9,2.2,0.7,0.5,1.3,2.0,7.5,0.56,13.5,1.3,-2.2,-0.8,11.6,0.3,0.173,-1.3,1.3,0.2,9.2,1.5,14.4,6.3,0.493,15.3,0.0,0.5,0.028,64
Taj Gibson,PF,26,CHI,63,0,20.4,3.2,6.4,0.495,0.0,0.0,,3.2,6.4,0.495,0.495,1.3,2.1,0.622,2.1,3.1,5.3,0.7,0.4,1.3,1.0,2.1,7.7,0.0,5.9,4.5,1.2,2.3,16.8,2.6,0.334,-1.1,12.0,1.8,16.9,1.1,11.5,14.4,0.522,18.6,1.0,4.5,0.167,75
Manu Ginobili,SG,34,SAS,34,7,23.3,4.4,8.4,0.526,1.5,3.7,0.413,2.9,4.7,0.616,0.618,2.6,3.0,0.871,0.5,2.9,3.4,4.4,0.7,0.4,1.9,1.6,12.9,0.442,30.3,1.1,6.4,-0.1,13.9,0.9,0.354,6.5,2.7,3.4,24.1,1.6,16.3,8.4,0.668,22.7,1.7,4.2,0.257,86
Drew Gooden,C,30,MIL,56,46,26.2,5.1,11.7,0.437,0.3,1.0,0.291,4.8,10.8,0.45,0.449,3.1,3.7,0.846,2.3,4.2,6.5,2.6,0.8,0.6,1.9,2.0,13.7,0.084,16.5,1.7,1.0,0.3,18.0,1.5,0.317,0.7,9.5,2.0,18.8,1.6,12.7,13.6,0.512,25.7,1.1,3.6,0.116,66
Ben Gordon,SG,28,DET,52,21,26.9,4.5,10.2,0.442,1.2,2.8,0.429,3.3,7.4,0.446,0.501,2.3,2.6,0.86,0.3,2.1,2.3,2.4,0.7,0.2,2.2,2.2,12.5,0.277,16.5,0.6,-2.4,-2.4,9.5,0.7,0.257,0.0,1.2,1.0,13.5,1.3,16.3,5.2,0.549,23.3,-0.1,1.7,0.058,71
Eric Gordon,PG,23,NOH,9,9,34.4,7.0,15.6,0.45,1.1,4.4,0.25,5.9,11.1,0.53,0.486,5.4,7.2,0.754,0.2,2.6,2.8,3.4,1.4,0.4,2.7,2.2,20.6,0.286,19.3,1.1,0.3,-1.9,8.7,0.3,0.464,2.2,0.8,0.5,19.2,2.3,12.5,4.8,0.549,29.4,0.2,0.7,0.115,80
Marcin Gortat,C,27,PHO,66,66,32.0,6.5,11.7,0.555,0.0,0.0,0.0,6.5,11.6,0.557,0.555,2.5,3.8,0.649,2.8,7.2,10.0,0.9,0.7,1.5,1.4,2.2,15.4,0.003,4.8,3.4,2.0,1.2,25.0,2.7,0.326,0.8,10.0,4.9,21.2,1.2,9.3,17.6,0.578,20.8,2.1,7.6,0.172,77
Andrew Goudelock,SG,23,LAL,40,0,10.5,1.7,4.4,0.391,0.7,1.9,0.373,1.0,2.5,0.404,0.471,0.3,0.3,0.917,0.1,0.7,0.8,0.5,0.1,0.0,0.5,0.8,4.4,0.431,8.0,0.0,-6.6,-4.3,6.6,0.1,0.069,-2.3,1.4,0.0,8.4,0.5,10.5,4.1,0.488,21.9,-0.5,0.1,0.011,61
Danny Granger,SF,28,IND,62,62,33.3,6.3,15.2,0.416,2.0,5.2,0.381,4.3,10.0,0.434,0.481,4.1,4.7,0.873,1.3,3.7,5.0,1.8,1.0,0.6,1.8,2.3,18.7,0.343,9.7,1.5,1.9,-1.2,12.3,2.2,0.309,3.1,4.3,4.5,18.6,1.6,9.3,8.4,0.542,25.9,2.0,6.7,0.155,81
Aaron Gray,C,27,TOR,49,40,16.6,1.7,3.3,0.516,0.0,0.0,,1.7,3.3,0.516,0.516,0.5,1.0,0.532,1.7,4.0,5.7,0.6,0.4,0.3,1.0,2.6,3.9,0.0,5.5,1.7,-2.0,1.5,28.3,1.3,0.292,-3.5,12.1,0.1,11.1,1.5,21.9,20.3,0.526,13.5,0.0,1.4,0.082,67
