player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Chucky Atkins,PG,29,BOS,24,24,33.0,4.3,10.4,0.418,1.6,4.6,0.351,2.7,5.8,0.471,0.496,1.8,2.3,0.778,0.1,1.8,1.9,5.3,1.1,0.0,1.8,1.8,12.0,0.446,27.3,0.1,-2.3,-3.2,5.9,0.3,0.217,0.9,0.4,1.2,14.0,1.7,13.9,3.2,0.53,18.2,-0.1,1.5,0.091,73
Stacey Augmon,SF,35,NOH,69,24,20.5,2.1,5.0,0.412,0.0,0.1,0.143,2.1,4.9,0.418,0.414,1.6,2.0,0.791,0.8,1.8,2.5,1.2,0.8,0.2,1.1,1.7,5.8,0.02,10.0,0.8,-3.3,0.2,10.1,1.3,0.401,-3.5,4.1,0.4,10.0,2.1,15.7,7.0,0.486,15.6,-0.5,1.6,0.056,68
Vin Baker,PF,32,NYK,17,0,18.4,2.4,5.8,0.404,0.1,0.1,0.5,2.3,5.7,0.402,0.409,1.9,2.6,0.711,2.1,2.0,4.1,0.7,0.4,0.5,1.5,3.6,6.6,0.02,6.4,2.2,-3.2,-0.6,12.4,0.3,0.455,-2.6,13.5,0.0,10.5,1.2,17.4,12.9,0.476,21.3,-0.1,0.3,0.043,71
Marcus Banks,PG,22,BOS,81,2,17.1,2.2,5.5,0.4,0.3,1.1,0.314,1.9,4.4,0.421,0.431,1.2,1.6,0.756,0.4,1.3,1.6,2.2,1.1,0.2,1.5,2.1,5.9,0.195,21.3,0.7,-3.3,-0.5,8.4,1.4,0.296,-2.8,2.5,-0.6,11.0,3.3,20.0,5.5,0.48,20.5,-0.5,0.7,0.026,74
Matt Barnes,SF,23,LAC,38,9,19.1,1.7,3.6,0.457,0.1,0.3,0.154,1.6,3.3,0.488,0.464,1.1,1.6,0.705,1.4,2.6,4.0,1.3,0.7,0.1,1.2,2.0,4.5,0.094,10.6,0.3,-1.6,-0.2,15.5,0.3,0.442,-1.4,8.3,0.4,10.6,2.0,21.1,11.9,0.519,12.8,0.1,0.7,0.045,68
Brent Barry,SG,32,SEA,59,53,30.6,3.6,7.2,0.504,1.9,4.3,0.452,1.7,3.0,0.577,0.637,1.5,1.9,0.827,0.4,3.1,3.5,5.8,1.4,0.3,2.4,2.1,10.8,0.59,30.5,0.7,2.9,-1.0,11.9,0.7,0.258,3.9,1.4,4.9,18.3,2.5,22.6,6.7,0.668,15.8,2.3,5.7,0.151,81
Jon Barry,SG,34,DEN,57,9,19.3,2.1,5.2,0.404,0.9,2.4,0.37,1.2,2.8,0.434,0.49,1.1,1.2,0.845,0.4,1.7,2.2,2.6,1.0,0.1,0.9,1.2,6.2,0.465,20.6,0.5,0.7,-0.5,10.2,1.1,0.239,1.2,2.5,1.7,14.6,2.7,13.9,6.3,0.535,15.2,0.7,2.8,0.122,76
Mengke Bateer,C,28,TOR,7,0,5.7,0.6,1.0,0.571,0.0,0.0,,0.6,1.0,0.571,0.571,0.0,0.0,,0.7,0.4,1.1,0.1,0.1,0.0,0.3,1.4,1.1,0.0,4.4,0.0,-3.2,-0.5,8.7,0.0,0.0,-2.7,14.3,0.0,7.2,1.4,22.2,11.5,0.571,10.9,0.0,0.1,0.09,59
Tony Battie,C,27,CLE,50,1,19.5,2.3,5.3,0.427,0.0,0.2,0.125,2.3,5.2,0.436,0.429,0.9,1.1,0.768,1.6,3.2,4.8,0.7,0.4,0.9,0.8,2.1,5.4,0.03,6.1,3.4,-2.5,0.4,18.3,1.0,0.21,-2.9,8.9,0.4,12.0,1.0,11.8,13.6,0.466,15.2,-0.1,1.4,0.07,69
Shane Battier,SF,25,MEM,79,1,24.6,3.1,6.9,0.446,0.8,2.4,0.349,2.2,4.5,0.496,0.506,1.5,2.1,0.732,1.3,2.5,3.8,1.3,1.3,0.7,0.7,2.4,8.5,0.343,8.4,2.2,3.3,1.6,11.8,2.3,0.302,1.7,5.9,3.5,15.3,2.7,8.3,8.8,0.544,15.5,2.6,5.9,0.145,79
Lonny Baxter,PF,25,WAS,12,0,11.0,1.3,2.7,0.5,0.0,0.1,0.0,1.3,2.6,0.516,0.5,0.8,1.0,0.75,0.9,1.7,2.6,0.4,0.2,0.4,0.4,1.9,3.4,0.031,6.6,2.7,-2.9,-0.7,17.5,0.1,0.375,-2.1,9.1,0.2,12.9,0.8,11.8,13.2,0.55,14.2,0.0,0.3,0.116,64
Jerome Beasley,PF,23,MIA,2,0,2.5,0.5,1.5,0.333,0.0,0.0,,0.5,1.5,0.333,0.333,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-22.4,-9.3,23.6,0.0,0.0,-13.2,0.0,0.0,5.9,0.0,0.0,11.7,0.333,28.2,0.0,0.0,-0.117,64
